ID,Title,Severity,Subsystem,Evidence,Impact,Recommended fix
RR2-B001,Remediation commit is outside immutable v1.0.4 tag,Blocker,Release identity,"main/package remain 1.0.4 at d2aba281, tag v1.0.4 resolves to 9606c767",New fixes cannot be qualified or published as v1.0.4,Bump to >=1.0.5 and create a new immutable tag
RR2-B002,Publication staging misses parent directories,Blocker,Publication,Manifest includes win-unpacked/MiniMaxAssetTool.exe; stager creates only publication root,copyFileSync fails ENOENT and publication cannot complete,mkdir destination parent recursively before every copy
RR2-B003,All critical coverage files are waived,Blocker,Coverage,16/16 critical files have waivers; 5-point tolerance; aggregate floors 50/60/30,100% critical rule is effectively inactive,Use narrow branch/line waivers with expiry and substitute evidence
RR2-C001,Installer has circular trust anchor,Critical,Installer authenticity,"CMD, key, verifier, signature and payload come from same untrusted folder",Full-package replacement can validate itself,Use signed installer with embedded trusted key
RR2-C002,Publication does not verify Minisign cryptographically,Critical,Publication,Only .minisig existence and manifest hashes are checked,Replaced manifest/files/fake signature can be staged,Verify signature with independent pinned trust anchor
RR2-C003,Provider kind bypasses production custom-URL block,Critical,Provider security,Arbitrary provider can use kind=openrouter plus attacker baseUrl,Stored Bearer key can be sent to attacker-controlled host,Bind allowed IDs/kinds/origins server-side
RR2-H001,Clean VM installs global Node and performs shallow smoke,High,Acceptance,setup-node is used; probe checks only bridge/DOM/sandbox,No proof release works without Node or local runtime paths work,Run node-free harness and real offline functions
RR2-H002,Acceptance rejects valid unsplit archive,High,Installer acceptance,Only .partN.zip is discovered,Small valid releases cannot pass qualification,Reuse archiveFiles and test both forms
RR2-H003,Upgrade and interrupt tests do not prove migration/rollback,High,Upgrade,Same version reinstalled; fixed 10s kill may miss critical phase,Real upgrades and rollback can remain broken,Test old-to-new release and deterministic fault injection
RR2-H004,Flakiness inventory remains incomplete,High,Flakiness,No repeated contract/build/sign/package/install/SBOM/publication suites,Release-pipeline flakes remain undetected,Repeat all critical release suites
RR2-H005,Mutation score covers only 16 directed mutants,High,Mutation,Hard-coded mutations omit many critical modules,100% score overstates coverage,Use broader systematic mutation campaign
RR2-H006,Download instructions omit mandatory signature files,High,Documentation,"README/release notes omit minisig, pubkey and verifier",Documented install path fails,List every required file and align optional/mandatory wording
RR2-H007,Root minisign.exe not Authenticode-gated,High,Signing,"Verifier checks app tree, not published root verifier",A shipped executable is outside claimed all-PE gate,Check every PE in final publication inventory
RR2-M001,Unsigned manual dry-run is internally impossible,Medium,Workflow,Finalizer and stager require key/signature even on manual dispatch,Documented dry run fails,Conditionally skip signed-only stages or remove promise
RR2-M002,SBOM package hash may belong to wrong duplicate version,Medium,SBOM,"Package JSON resolution uses name, not name@version path",Hash/license metadata can mismatch component version,Resolve exact lockfile installation path
RR2-M003,Publication accepts extra manifest entries,Medium,Publication,Canonical check is subset-only and paths are not constrained,Noncanonical files may be staged,Require exact set equality and safe relative paths
